state,house_url,inventory_id
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/towne-center/quick-move-in-homes/11951-brightside-parkway-117,7822
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/towne-center/quick-move-in-homes/11635-brightside-parkway-79,7823
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/silverock/quick-move-in-homes/625-marimba-pike-40,8145
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/silverock/quick-move-in-homes/533-rubato-knoll-33,6450
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/saddleridge/quick-move-in-homes/117-homesite-saddle-drive-117,8734
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/saddleridge/quick-move-in-homes/116-homesite-saddle-drive-116,8729
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/langley-overlook/quick-move-in-homes/3676-donovan-circle-57,8884
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/langley-overlook/quick-move-in-homes/3674-donovan-circle-56,8883
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/langley-overlook/quick-move-in-homes/3672-donovan-circle-55,8881
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/langley-overlook/quick-move-in-homes/3670-donovan-circle-54,8882
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/kingston/quick-move-in-homes/504-dolce-road-28,8041
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/kingston/quick-move-in-homes/343-linford-drive-231,9019
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/kingston/quick-move-in-homes/282-linford-drive-263,7627
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/hamilton-lakes/quick-move-in-homes/2505-dixon-place-10,9025
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/grandview-at-millers-mill/quick-move-in-homes/178-buffalo-trace-45,9024
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/enclave-at-evergreen/quick-move-in-homes/86-hydrangea-circle-3,9171
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/enclave-at-evergreen/quick-move-in-homes/84-hydrangea-circle-4,8119
georgia,https://www.drbhomes.com/drbhomes/find-your-home/communities/georgia/atlanta/diamante/quick-move-in-homes/616-treasure-drive-158,8203
