Zip,Market,City/Town,State
30127,Atlanta,DOUGLAS,GA
30127,Atlanta,PAULDING,GA
30129,Atlanta,FLOYD,GA
30132,Atlanta,PAULDING,GA
30133,Atlanta,DOUGLAS,GA
30134,Atlanta,DOUGLAS,GA
30134,Atlanta,PAULDING,GA
30135,Atlanta,DOUGLAS,GA
30137,Atlanta,BARTOW,GA
30138,Atlanta,POLK,GA
30139,Atlanta,BARTOW,GA
30139,Atlanta,GORDON,GA
30139,Atlanta,PICKENS,GA
30140,Atlanta,HARALSON,GA
30141,Atlanta,COBB,GA
30141,Atlanta,PAULDING,GA
30142,Atlanta,CHEROKEE,GA
30143,Atlanta,CHEROKEE,GA
30143,Atlanta,DAWSON,GA
30143,Atlanta,PICKENS,GA
30144,Atlanta,COBB,GA
30145,Atlanta,BARTOW,GA
30145,Atlanta,FLOYD,GA
30146,Atlanta,CHEROKEE,GA
30147,Atlanta,FLOYD,GA
30147,Atlanta,POLK,GA
30148,Atlanta,DAWSON,GA
30148,Atlanta,PICKENS,GA
30149,Atlanta,FLOYD,GA
30150,Atlanta,CARROLL,GA
30151,Atlanta,CHEROKEE,GA
30152,Atlanta,COBB,GA
30153,Atlanta,HARALSON,GA
30153,Atlanta,PAULDING,GA
30153,Atlanta,POLK,GA
30154,Atlanta,DOUGLAS,GA
30156,Atlanta,COBB,GA
30157,Atlanta,COBB,GA
30157,Atlanta,PAULDING,GA
30160,Atlanta,COBB,GA
30161,Atlanta,BARTOW,GA
30161,Atlanta,FLOYD,GA
30162,Atlanta,FLOYD,GA
30164,Atlanta,FLOYD,GA
30165,Atlanta,FLOYD,GA
30168,Atlanta,COBB,GA
30168,Atlanta,DOUGLAS,GA
30169,Atlanta,CHEROKEE,GA
30170,Atlanta,CARROLL,GA
30170,Atlanta,HEARD,GA
30171,Atlanta,BARTOW,GA
30171,Atlanta,CHEROKEE,GA
30171,Atlanta,GORDON,GA
30172,Atlanta,FLOYD,GA
30173,Atlanta,FLOYD,GA
30173,Atlanta,POLK,GA
30175,Atlanta,GILMER,GA
30175,Atlanta,PICKENS,GA
30176,Atlanta,HARALSON,GA
30177,Atlanta,PICKENS,GA
30178,Atlanta,BARTOW,GA
30178,Atlanta,PAULDING,GA
30178,Atlanta,POLK,GA
30179,Atlanta,CARROLL,GA
30179,Atlanta,HARALSON,GA
30179,Atlanta,PAULDING,GA
30180,Atlanta,CARROLL,GA
30180,Atlanta,DOUGLAS,GA
30180,Atlanta,PAULDING,GA
30182,Atlanta,CARROLL,GA
30182,Atlanta,HARALSON,GA
30183,Atlanta,BARTOW,GA
30183,Atlanta,CHEROKEE,GA
30183,Atlanta,PICKENS,GA
30184,Atlanta,BARTOW,GA
30184,Atlanta,CHEROKEE,GA
30185,Atlanta,CARROLL,GA
30185,Atlanta,DOUGLAS,GA
30187,Atlanta,DOUGLAS,GA
30188,Atlanta,CHEROKEE,GA
30188,Atlanta,COBB,GA
30189,Atlanta,CHEROKEE,GA
30204,Atlanta,LAMAR,GA
30204,Atlanta,UPSON,GA
30205,Atlanta,FAYETTE,GA
30205,Atlanta,PIKE,GA
30205,Atlanta,SPALDING,GA
30206,Atlanta,PIKE,GA
30212,Atlanta,SPALDING,GA
30213,Atlanta,FULTON,GA
30214,Atlanta,FAYETTE,GA
30214,Atlanta,FULTON,GA
30215,Atlanta,CLAYTON,GA
30215,Atlanta,FAYETTE,GA
30216,Atlanta,BUTTS,GA
30217,Atlanta,HEARD,GA
30217,Atlanta,TROUP,GA
30218,Atlanta,MERIWETHER,GA
30220,Atlanta,COWETA,GA
30220,Atlanta,MERIWETHER,GA
30222,Atlanta,MERIWETHER,GA
30223,Atlanta,BUTTS,GA
30223,Atlanta,SPALDING,GA
30224,Atlanta,LAMAR,GA
30224,Atlanta,PIKE,GA
30224,Atlanta,SPALDING,GA
30228,Atlanta,CLAYTON,GA
30228,Atlanta,HENRY,GA
30228,Atlanta,SPALDING,GA
30229,Atlanta,COWETA,GA
30230,Atlanta,COWETA,GA
30230,Atlanta,HEARD,GA
30230,Atlanta,MERIWETHER,GA
30230,Atlanta,TROUP,GA
30233,Atlanta,BUTTS,GA
30233,Atlanta,HENRY,GA
30233,Atlanta,LAMAR,GA
30233,Atlanta,NEWTON,GA
30234,Atlanta,BUTTS,GA
30234,Atlanta,HENRY,GA
30236,Atlanta,CLAYTON,GA
30236,Atlanta,HENRY,GA
30237,Atlanta,CLAYTON,GA
30238,Atlanta,CLAYTON,GA
30238,Atlanta,FAYETTE,GA
30240,Atlanta,TROUP,GA
30241,Atlanta,MERIWETHER,GA
30241,Atlanta,TROUP,GA
30248,Atlanta,BUTTS,GA
30248,Atlanta,HENRY,GA
30248,Atlanta,SPALDING,GA
30250,Atlanta,CLAYTON,GA
30251,Atlanta,MERIWETHER,GA
30252,Atlanta,HENRY,GA
30252,Atlanta,ROCKDALE,GA
30253,Atlanta,HENRY,GA
30256,Atlanta,LAMAR,GA
30256,Atlanta,PIKE,GA
30256,Atlanta,UPSON,GA
30257,Atlanta,LAMAR,GA
30257,Atlanta,PIKE,GA
30258,Atlanta,PIKE,GA
30258,Atlanta,UPSON,GA
30259,Atlanta,COWETA,GA
30260,Atlanta,CLAYTON,GA
30261,Atlanta,TROUP,GA
30263,Atlanta,COWETA,GA
30263,Atlanta,HEARD,GA
30264,Atlanta,COWETA,GA
30265,Atlanta,COWETA,GA
30266,Atlanta,SPALDING,GA
30268,Atlanta,COWETA,GA
30268,Atlanta,FULTON,GA
30269,Atlanta,FAYETTE,GA
30270,Atlanta,FAYETTE,GA
30271,Atlanta,COWETA,GA
30272,Atlanta,FULTON,GA
30273,Atlanta,CLAYTON,GA
30273,Atlanta,HENRY,GA
30274,Atlanta,CLAYTON,GA
30275,Atlanta,COWETA,GA
30276,Atlanta,COWETA,GA
30276,Atlanta,FAYETTE,GA
30276,Atlanta,MERIWETHER,GA
30277,Atlanta,COWETA,GA
30281,Atlanta,CLAYTON,GA
30281,Atlanta,HENRY,GA
30281,Atlanta,ROCKDALE,GA
30284,Atlanta,SPALDING,GA
30285,Atlanta,LAMAR,GA
30285,Atlanta,PIKE,GA
30285,Atlanta,UPSON,GA
30286,Atlanta,UPSON,GA
30287,Atlanta,CLAYTON,GA
30288,Atlanta,CLAYTON,GA
30288,Atlanta,DEKALB,GA
30289,Atlanta,COWETA,GA
30290,Atlanta,FAYETTE,GA
30291,Atlanta,FULTON,GA
30292,Atlanta,PIKE,GA
30292,Atlanta,SPALDING,GA
30293,Atlanta,MERIWETHER,GA
30294,Atlanta,CLAYTON,GA
30294,Atlanta,DEKALB,GA
30294,Atlanta,HENRY,GA
30294,Atlanta,ROCKDALE,GA
30295,Atlanta,LAMAR,GA
30295,Atlanta,PIKE,GA
30296,Atlanta,CLAYTON,GA
30296,Atlanta,FAYETTE,GA
30296,Atlanta,FULTON,GA
30297,Atlanta,CLAYTON,GA
30298,Atlanta,CLAYTON,GA
30301,Atlanta,FULTON,GA
30302,Atlanta,FULTON,GA
30303,Atlanta,FULTON,GA
30304,Atlanta,FULTON,GA
30305,Atlanta,FULTON,GA
30306,Atlanta,DEKALB,GA
30306,Atlanta,FULTON,GA
30307,Atlanta,DEKALB,GA
30307,Atlanta,FULTON,GA
30308,Atlanta,FULTON,GA
30309,Atlanta,FULTON,GA
30310,Atlanta,FULTON,GA
30311,Atlanta,FULTON,GA
30312,Atlanta,FULTON,GA
30313,Atlanta,FULTON,GA
30314,Atlanta,FULTON,GA
30315,Atlanta,FULTON,GA
30316,Atlanta,DEKALB,GA
30316,Atlanta,FULTON,GA
30317,Atlanta,DEKALB,GA
30317,Atlanta,FULTON,GA
30318,Atlanta,FULTON,GA
30319,Atlanta,DEKALB,GA
30319,Atlanta,FULTON,GA
30320,Atlanta,FULTON,GA
30321,Atlanta,FULTON,GA
30322,Atlanta,DEKALB,GA
30324,Atlanta,DEKALB,GA
30324,Atlanta,FULTON,GA
30325,Atlanta,FULTON,GA
30326,Atlanta,FULTON,GA
30327,Atlanta,FULTON,GA
30328,Atlanta,DEKALB,GA
30328,Atlanta,FULTON,GA
30329,Atlanta,DEKALB,GA
30331,Atlanta,FULTON,GA
30332,Atlanta,FULTON,GA
30333,Atlanta,DEKALB,GA
30334,Atlanta,FULTON,GA
30336,Atlanta,FULTON,GA
30337,Atlanta,FULTON,GA
30338,Atlanta,DEKALB,GA
30338,Atlanta,FULTON,GA
30339,Atlanta,COBB,GA
30340,Atlanta,DEKALB,GA
30340,Atlanta,GWINNETT,GA
30341,Atlanta,DEKALB,GA
30342,Atlanta,FULTON,GA
30343,Atlanta,FULTON,GA
30344,Atlanta,FULTON,GA
30345,Atlanta,DEKALB,GA
30346,Atlanta,DEKALB,GA
30348,Atlanta,FULTON,GA
30349,Atlanta,CLAYTON,GA
30349,Atlanta,FULTON,GA
30350,Atlanta,DEKALB,GA
30350,Atlanta,FULTON,GA
30350,Atlanta,GWINNETT,GA
30353,Atlanta,FULTON,GA
30354,Atlanta,CLAYTON,GA
30354,Atlanta,FULTON,GA
30355,Atlanta,FULTON,GA
30356,Atlanta,DEKALB,GA
30357,Atlanta,FULTON,GA
30358,Atlanta,FULTON,GA
30359,Atlanta,DEKALB,GA
30360,Atlanta,DEKALB,GA
30360,Atlanta,GWINNETT,GA
30361,Atlanta,FULTON,GA
30362,Atlanta,DEKALB,GA
30363,Atlanta,FULTON,GA
30364,Atlanta,FULTON,GA
30366,Atlanta,DEKALB,GA
30368,Atlanta,FULTON,GA
30369,Atlanta,FULTON,GA
30370,Atlanta,FULTON,GA
30371,Atlanta,FULTON,GA
30374,Atlanta,FULTON,GA
30375,Atlanta,FULTON,GA
30377,Atlanta,FULTON,GA
30378,Atlanta,FULTON,GA
30380,Atlanta,FULTON,GA
30384,Atlanta,FULTON,GA
30385,Atlanta,FULTON,GA
30388,Atlanta,FULTON,GA
30392,Atlanta,FULTON,GA
30394,Atlanta,FULTON,GA
30396,Atlanta,FULTON,GA
30398,Atlanta,FULTON,GA
30501,Atlanta,HALL,GA
30502,Atlanta,HALL,GA
30503,Atlanta,HALL,GA
30504,Atlanta,HALL,GA
30506,Atlanta,FORSYTH,GA
30506,Atlanta,HALL,GA
30507,Atlanta,HALL,GA
30510,Atlanta,BANKS,GA
30510,Atlanta,HABERSHAM,GA
30510,Atlanta,HALL,GA
30511,Atlanta,BANKS,GA
30511,Atlanta,HABERSHAM,GA
30512,Atlanta,FANNIN,GA
30512,Atlanta,UNION,GA
30513,Atlanta,FANNIN,GA
30513,Atlanta,GILMER,GA
30514,Atlanta,UNION,GA
30515,Atlanta,GWINNETT,GA
30517,Atlanta,BARROW,GA
30517,Atlanta,GWINNETT,GA
30517,Atlanta,HALL,GA
30517,Atlanta,JACKSON,GA
30518,Atlanta,GWINNETT,GA
30518,Atlanta,HALL,GA
30519,Atlanta,GWINNETT,GA
30519,Atlanta,HALL,GA
30521,Atlanta,BANKS,GA
30522,Atlanta,FANNIN,GA
30522,Atlanta,GILMER,GA
30523,Atlanta,HABERSHAM,GA
30523,Atlanta,RABUN,GA
30523,Atlanta,WHITE,GA
30525,Atlanta,RABUN,GA
30525,Atlanta,TOWNS,GA
30527,Atlanta,HALL,GA
30527,Atlanta,WHITE,GA
30528,Atlanta,HALL,GA
30528,Atlanta,LUMPKIN,GA
30528,Atlanta,WHITE,GA
30529,Atlanta,BANKS,GA
30529,Atlanta,JACKSON,GA
30530,Atlanta,BANKS,GA
30530,Atlanta,JACKSON,GA
30530,Atlanta,MADISON,GA
30531,Atlanta,HABERSHAM,GA
30531,Atlanta,HALL,GA
30533,Atlanta,DAWSON,GA
30533,Atlanta,HALL,GA
30533,Atlanta,LUMPKIN,GA
30533,Atlanta,WHITE,GA
30534,Atlanta,CHEROKEE,GA
30534,Atlanta,DAWSON,GA
30534,Atlanta,FORSYTH,GA
30534,Atlanta,LUMPKIN,GA
30535,Atlanta,HABERSHAM,GA
30536,Atlanta,DAWSON,GA
30536,Atlanta,GILMER,GA
30537,Atlanta,RABUN,GA
30539,Atlanta,GILMER,GA
30540,Atlanta,GILMER,GA
30541,Atlanta,FANNIN,GA
30542,Atlanta,HALL,GA
30543,Atlanta,BANKS,GA
30543,Atlanta,HALL,GA
30543,Atlanta,JACKSON,GA
30545,Atlanta,WHITE,GA
30546,Atlanta,TOWNS,GA
30547,Atlanta,BANKS,GA
30548,Atlanta,BARROW,GA
30548,Atlanta,GWINNETT,GA
30548,Atlanta,HALL,GA
30548,Atlanta,JACKSON,GA
30549,Atlanta,JACKSON,GA
30552,Atlanta,RABUN,GA
30554,Atlanta,BANKS,GA
30554,Atlanta,HALL,GA
30555,Atlanta,FANNIN,GA
30558,Atlanta,BANKS,GA
30558,Atlanta,JACKSON,GA
30559,Atlanta,FANNIN,GA
30560,Atlanta,FANNIN,GA
30560,Atlanta,UNION,GA
30562,Atlanta,RABUN,GA
30563,Atlanta,HABERSHAM,GA
30564,Atlanta,HALL,GA
30564,Atlanta,LUMPKIN,GA
30564,Atlanta,WHITE,GA
30565,Atlanta,JACKSON,GA
30565,Atlanta,MADISON,GA
30566,Atlanta,HALL,GA
30567,Atlanta,HALL,GA
30567,Atlanta,JACKSON,GA
30568,Atlanta,RABUN,GA
30571,Atlanta,HABERSHAM,GA
30571,Atlanta,WHITE,GA
30572,Atlanta,FANNIN,GA
30572,Atlanta,UNION,GA
30573,Atlanta,RABUN,GA
30575,Atlanta,HALL,GA
30575,Atlanta,JACKSON,GA
30576,Atlanta,RABUN,GA
30577,Atlanta,BANKS,GA
30577,Atlanta,HABERSHAM,GA
30580,Atlanta,HABERSHAM,GA
30581,Atlanta,RABUN,GA
30582,Atlanta,TOWNS,GA
30582,Atlanta,UNION,GA
30597,Atlanta,LUMPKIN,GA
30599,Atlanta,JACKSON,GA
30601,Atlanta,CLARKE,GA
30601,Atlanta,JACKSON,GA
30601,Atlanta,MADISON,GA
30602,Atlanta,CLARKE,GA
30603,Atlanta,CLARKE,GA
30604,Atlanta,CLARKE,GA
30605,Atlanta,CLARKE,GA
30605,Atlanta,OCONEE,GA
30606,Atlanta,CLARKE,GA
30606,Atlanta,OCONEE,GA
30607,Atlanta,CLARKE,GA
30607,Atlanta,JACKSON,GA
30608,Atlanta,CLARKE,GA
30609,Atlanta,CLARKE,GA
30612,Atlanta,CLARKE,GA
30619,Atlanta,OCONEE,GA
30619,Atlanta,OGLETHORPE,GA
30620,Atlanta,BARROW,GA
30620,Atlanta,GWINNETT,GA
30620,Atlanta,WALTON,GA
30621,Atlanta,MORGAN,GA
30621,Atlanta,OCONEE,GA
30622,Atlanta,BARROW,GA
30622,Atlanta,CLARKE,GA
30622,Atlanta,JACKSON,GA
30622,Atlanta,OCONEE,GA
30623,Atlanta,MORGAN,GA
30624,Atlanta,MADISON,GA
30625,Atlanta,MORGAN,GA
30625,Atlanta,PUTNAM,GA
30627,Atlanta,MADISON,GA
30627,Atlanta,OGLETHORPE,GA
30628,Atlanta,MADISON,GA
30628,Atlanta,OGLETHORPE,GA
30629,Atlanta,MADISON,GA
30629,Atlanta,OGLETHORPE,GA
30630,Atlanta,OGLETHORPE,GA
30631,Atlanta,GREENE,GA
30633,Atlanta,MADISON,GA
30638,Atlanta,OCONEE,GA
30641,Atlanta,MORGAN,GA
30641,Atlanta,WALTON,GA
30642,Atlanta,GREENE,GA
30642,Atlanta,PUTNAM,GA
30645,Atlanta,OCONEE,GA
30646,Atlanta,CLARKE,GA
30646,Atlanta,JACKSON,GA
30646,Atlanta,MADISON,GA
30647,Atlanta,MADISON,GA
30648,Atlanta,OGLETHORPE,GA
30650,Atlanta,GREENE,GA
30650,Atlanta,MORGAN,GA
30650,Atlanta,PUTNAM,GA
30650,Atlanta,WALTON,GA
30655,Atlanta,WALTON,GA
30656,Atlanta,BARROW,GA
30656,Atlanta,WALTON,GA
30660,Atlanta,OGLETHORPE,GA
30662,Atlanta,MADISON,GA
30663,Atlanta,MORGAN,GA
30665,Atlanta,GREENE,GA
30666,Atlanta,BARROW,GA
30666,Atlanta,JACKSON,GA
30666,Atlanta,OCONEE,GA
30667,Atlanta,OGLETHORPE,GA
30669,Atlanta,GREENE,GA
30669,Atlanta,OGLETHORPE,GA
30671,Atlanta,OGLETHORPE,GA
30677,Atlanta,GREENE,GA
30677,Atlanta,OCONEE,GA
30678,Atlanta,GREENE,GA
30680,Atlanta,BARROW,GA
30680,Atlanta,OCONEE,GA
30683,Atlanta,CLARKE,GA
30683,Atlanta,OGLETHORPE,GA
30701,Atlanta,FLOYD,GA
30701,Atlanta,GORDON,GA
30703,Atlanta,GORDON,GA
30705,Atlanta,GILMER,GA
30730,Atlanta,CHATTOOGA,GA
30731,Atlanta,CHATTOOGA,GA
30732,Atlanta,GORDON,GA
30733,Atlanta,FLOYD,GA
30733,Atlanta,GORDON,GA
30734,Atlanta,GORDON,GA
30734,Atlanta,PICKENS,GA
30735,Atlanta,GORDON,GA
30746,Atlanta,GORDON,GA
30747,Atlanta,CHATTOOGA,GA
30747,Atlanta,FLOYD,GA
30753,Atlanta,CHATTOOGA,GA
31016,Atlanta,LAMAR,GA
31016,Atlanta,UPSON,GA
31024,Atlanta,JASPER,GA
31024,Atlanta,PUTNAM,GA
31026,Atlanta,PUTNAM,GA
31038,Atlanta,JASPER,GA
31061,Atlanta,PUTNAM,GA
31064,Atlanta,JASPER,GA
31064,Atlanta,NEWTON,GA
31085,Atlanta,JASPER,GA
31097,Atlanta,LAMAR,GA
31097,Atlanta,UPSON,GA
31106,Atlanta,FULTON,GA
31107,Atlanta,DEKALB,GA
31119,Atlanta,DEKALB,GA
31126,Atlanta,FULTON,GA
31131,Atlanta,FULTON,GA
31136,Atlanta,FULTON,GA
31139,Atlanta,FULTON,GA
31141,Atlanta,DEKALB,GA
31144,Atlanta,COBB,GA
31145,Atlanta,DEKALB,GA
31146,Atlanta,DEKALB,GA
31150,Atlanta,FULTON,GA
31156,Atlanta,FULTON,GA
31169,Atlanta,FAYETTE,GA
31192,Atlanta,FULTON,GA
31193,Atlanta,FULTON,GA
31195,Atlanta,FULTON,GA
31196,Atlanta,FULTON,GA
31816,Atlanta,MERIWETHER,GA
31822,Atlanta,MERIWETHER,GA
31822,Atlanta,TROUP,GA
31830,Atlanta,MERIWETHER,GA
31833,Atlanta,TROUP,GA
32102,Orlando Daytona,LAKE,FL
32102,Orlando Daytona,VOLUSIA,FL
32105,Orlando Daytona,VOLUSIA,FL
32110,Orlando Daytona,FLAGLER,FL
32111,Orlando Daytona,MARION,FL
32113,Orlando Daytona,MARION,FL
32114,Orlando Daytona,VOLUSIA,FL
32115,Orlando Daytona,VOLUSIA,FL
32116,Orlando Daytona,VOLUSIA,FL
32117,Orlando Daytona,VOLUSIA,FL
32118,Orlando Daytona,VOLUSIA,FL
32119,Orlando Daytona,VOLUSIA,FL
32120,Orlando Daytona,VOLUSIA,FL
32121,Orlando Daytona,VOLUSIA,FL
32122,Orlando Daytona,VOLUSIA,FL
32123,Orlando Daytona,VOLUSIA,FL
32124,Orlando Daytona,VOLUSIA,FL
32125,Orlando Daytona,VOLUSIA,FL
32126,Orlando Daytona,VOLUSIA,FL
32127,Orlando Daytona,VOLUSIA,FL
32128,Orlando Daytona,VOLUSIA,FL
32129,Orlando Daytona,VOLUSIA,FL
32130,Orlando Daytona,VOLUSIA,FL
32132,Orlando Daytona,VOLUSIA,FL
32133,Orlando Daytona,MARION,FL
32134,Orlando Daytona,MARION,FL
32135,Orlando Daytona,FLAGLER,FL
32136,Orlando Daytona,FLAGLER,FL
32136,Orlando Daytona,VOLUSIA,FL
32137,Orlando Daytona,FLAGLER,FL
32141,Orlando Daytona,VOLUSIA,FL
32142,Orlando Daytona,FLAGLER,FL
32143,Orlando Daytona,FLAGLER,FL
32158,Orlando Daytona,LAKE,FL
32159,Orlando Daytona,LAKE,FL
32159,Orlando Daytona,SUMTER,FL
32162,Orlando Daytona,MARION,FL
32162,Orlando Daytona,SUMTER,FL
32163,Orlando Daytona,SUMTER,FL
32164,Orlando Daytona,FLAGLER,FL
32168,Orlando Daytona,VOLUSIA,FL
32169,Orlando Daytona,VOLUSIA,FL
32170,Orlando Daytona,VOLUSIA,FL
32173,Orlando Daytona,VOLUSIA,FL
32174,Orlando Daytona,FLAGLER,FL
32174,Orlando Daytona,VOLUSIA,FL
32175,Orlando Daytona,VOLUSIA,FL
32176,Orlando Daytona,VOLUSIA,FL
32179,Orlando Daytona,MARION,FL
32180,Orlando Daytona,VOLUSIA,FL
32182,Orlando Daytona,MARION,FL
32183,Orlando Daytona,MARION,FL
32190,Orlando Daytona,VOLUSIA,FL
32192,Orlando Daytona,MARION,FL
32195,Orlando Daytona,LAKE,FL
32195,Orlando Daytona,MARION,FL
32198,Orlando Daytona,VOLUSIA,FL
32617,Orlando Daytona,MARION,FL
32634,Orlando Daytona,MARION,FL
32663,Orlando Daytona,MARION,FL
32664,Orlando Daytona,MARION,FL
32667,Orlando Daytona,MARION,FL
32668,Orlando Daytona,MARION,FL
32681,Orlando Daytona,MARION,FL
32686,Orlando Daytona,MARION,FL
32696,Orlando Daytona,MARION,FL
32701,Orlando Daytona,SEMINOLE,FL
32702,Orlando Daytona,LAKE,FL
32702,Orlando Daytona,MARION,FL
32703,Orlando Daytona,ORANGE,FL
32703,Orlando Daytona,SEMINOLE,FL
32704,Orlando Daytona,ORANGE,FL
32706,Orlando Daytona,VOLUSIA,FL
32707,Orlando Daytona,SEMINOLE,FL
