city,event_url
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260422/44ee6d38-c5ed-461b-ad07-1cb0d2e280b8/curren-y-the-winners-circle-tour-w-the-747-band-fendi-p-and-stoney-jackson
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260408/bd92c54f-3237-421d-bbbf-f690a766c37c/austin-young-professionals-network-hosts-spring-into-connections-networking-event
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260408/dbc23b8a-350f-4050-a4a5-a82a34bb2b89/concordia-university-texas-the-gathering
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260408/8a6b98f1-12b2-4332-ae18-7f91474080ea/resound-presents-femtanyl-w-takihasdied-and-friends-tba-at-29th-street-ballroom-on-4-8
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260408/712cdc46-b132-44b7-b8b9-242aafb934a3/resound-antones-present-southern-avenue-at-antone-s-on-4-8
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260408/02c4bef2-fcc4-4d8b-908e-a2c5f916cee5/resound-presents-touch-amor-stage-four-10-year-anniversary-at-mohawk-on-4-8
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260408/057c0331-d158-417f-a631-cd6326902b3c/resound-presents-knifeplay-w-fawn-at-hotel-vegas-on-4-8
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260409/60e49916-98c6-4d36-8d0c-185ac6402c7f/nouvel-heritage-personal-appearance-and-extended-trunk-show-at-zadok-jewelers
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260409/c2c4eadc-e5df-49ff-ad10-10667363f0f8/meet-the-maker-bourbon-tasting-and-bottle-signing-with-charlie-garrison
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260409/c74db89d-4faa-43e6-86b1-9ccb137a21cc/resound-presents-my-life-with-the-thrill-kill-kult-w-light-asylum-die-sexual-devora-and-heavy-h
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260409/f4def968-a071-4c19-baa5-94ac1c18d72e/paint-night-done-right-austin-paint-and-sip-by-classpop
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260409/df5b686c-502d-4191-8d5b-0246a15469cd/resound-presents-vial-w-alex-vile-at-29th-st-ballroom-on-4-9
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260409/0e984ba7-b4e2-4300-b458-ad6da54dc260/high-school-musical-jr
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260410/29b19a41-1fe0-4d94-bda3-6ca76ca70dcd/meet-the-maker-bourbon-tasting-and-bottle-signing-with-charlie-garrison
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260410/f0b31df9-949e-48be-a99b-32a0888c81a5/giovannie-the-hired-guns
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260410/ae7ba043-9227-4eac-806e-ab1b71a43d7f/candlelight-tribute-to-adele
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260410/5333ec0a-a8b1-4b5e-b2d7-39c8e40baa08/resound-presents-remember-sports-at-29th-street-ballroom-on-4-10
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260410/ab304fc0-d999-413f-b8cc-df81853c73a4/paint-sip-night
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260410/96419d99-087a-4928-a272-82af139eacdd/enjoy-free-live-music-at-the-ruby-hotel-bar-on-april-10
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260410/4be87edf-77c4-49b5-8d16-d3e627f17131/superman-2025-community-cinema
Austin,https://patch.com/texas/downtownaustin/calendar/event/20260410/ebd66369-0808-4772-b09a-63f0a17dc47e/buku-shwilly-wu-tsu-fabrik-dirty-jackie
Orlando,https://patch.com/florida/orlando/calendar/event/20260408/88fed68d-e509-4988-b994-60934900a201/caribbean-restaurant-orlando-fl
Orlando,https://patch.com/florida/orlando/calendar/event/20260408/dd873647-64ae-4f95-872e-cf7cf07f2cec/ocls-the-moogician-cow-medy-show
Orlando,https://patch.com/florida/orlando/calendar/event/20260408/4148af1b-58c6-4cd5-baf2-43fbcddb4525/snap-send-solve-decoding-real-world-dental-dilemmas
Orlando,https://patch.com/florida/orlando/calendar/event/20260409/36dcdc05-cd5f-4e5e-a62f-1ec18f505409/candlelight-mozart-vs-beethoven
Orlando,https://patch.com/florida/orlando/calendar/event/20260409/985c0480-2428-4925-af2c-e2f09e5b1861/candlelight-tribute-to-the-beatles
Orlando,https://patch.com/florida/orlando/calendar/event/20260410/5d35c017-7ce8-4078-a76e-f533470766fa/free-bra-fittings-to-support-breast-cancer-awareness
Orlando,https://patch.com/florida/orlando/calendar/event/20260410/9690fabd-8a5a-431d-83bc-7b9feb2a80b5/candlelight-tribute-to-bad-bunny
Orlando,https://patch.com/florida/orlando/calendar/event/20260410/af633230-ab8f-4631-b0b9-ba2fb8741f91/heated-rivalry-dance-party
Orlando,https://patch.com/florida/orlando/calendar/event/20260410/160d348a-fdd3-4bf2-8fcf-747081e263d1/candlelight-tribute-to-taylor-swift
Orlando,https://patch.com/florida/orlando/calendar/event/20260411/a9d1f2a2-211b-471f-be04-27bf11b59e9e/stem-adventures-at-kiddie-academy-of-lake-nona
Orlando,https://patch.com/florida/orlando/calendar/event/20260411/ade586a7-e79d-424a-8fb8-71e69b88804c/stem-adventures-at-kiddie-academy-of-hunters-creek
Orlando,https://patch.com/florida/orlando/calendar/event/20260411/20f2be6f-388c-4da0-9edc-5407029c71db/sensory-friendly-hour-at-dave-busters
Orlando,https://patch.com/florida/orlando/calendar/event/20260411/8240da4b-b68e-4ee7-97ab-848db99a5440/whiskey-wonder-at-disney-springs
Orlando,https://patch.com/florida/mount-dora-fl/calendar/event/20260412/66a4b301-8c62-4e18-9340-1fbc30a84be3/mount-dora-ice-cream-stroll-and-pup-walk-spring-26
Orlando,https://patch.com/florida/orlando/calendar/event/20260412/97fc1368-378c-4f46-939b-234236a874c6/bethune-cookman-universitys-spring-concert-to-open-inauguration-festivities
Orlando,https://patch.com/florida/orlando/calendar/event/20260413/413b2501-d2ae-4bcc-8f84-6be1c72e90bc/bethune-cookman-university-to-host-inauguration-scholarship-gala-on-april-13
Orlando,https://patch.com/florida/orlando/calendar/event/20260415/d347436a-aeaa-4644-b225-c0535ea6b908/smarter-senior-seminar-series-financial-ways-to-survive
Orlando,https://patch.com/florida/orlando/calendar/event/20260416/c42685ac-4443-4aef-a694-821467d4df8d/beauty-with-a-purpose-drive
Orlando,https://patch.com/florida/orlando/calendar/event/20260416/bd13b2c8-6471-4f33-aefd-9213b5df2dc7/candlelight-tribute-to-adele
Orlando,https://patch.com/florida/orlando/calendar/event/20260416/accd1126-9b78-450a-aa9e-0caa22789116/candlelight-queen-vs-abba
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260423/6f595324-a1f5-45b1-b69d-c6c811678155/jazz-empowers-2026-nashville-gala
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260424/7d08e359-c4bf-40f6-929a-33501a502bbe/music-city-home-expo-april-24th-26th-2026
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260424/acf0fc93-4bda-4311-82a8-be8f5aad3c3a/i-love-you-but-i-chose-the-maine
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260424/b87ac6f2-83dd-4003-bc25-d915b0971249/an-evening-with-jimmy-webb
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260425/081f97f7-d2d9-4012-b612-c85dc30fbebe/bubble-run-nashville-2026
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260425/347c87c4-be0a-4a7c-85e8-39fc498f8a5b/americas-ride-to-remember-poker-run
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260425/ab1238b3-7d36-4087-898e-8193aca8f5dd/rock-n-roll-brunch-n-beats
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260425/51315e4c-24ba-4651-8dcc-b2c889956d18/songwriter-session-mark-irwin
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260425/c08fa5bf-dcce-4eb2-b26e-fa6c9891b6a7/nashville-soccer-club-vs-charlotte-fc
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260426/db457aef-1672-4624-9598-0e00d1571115/boozy-sundae-decorating-class-nashville
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260426/77c1c19d-a26b-4977-9858-384c1f7494f3/picnic-with-the-library
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260427/19ebf5f3-2f90-40a7-a9d1-531e068b30c0/two-feet-the-next-steps-tour
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260502/2e522479-cae6-4f74-8d7f-43dcf6f3d6f8/get-moven-5k-retro-run
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260507/951e675b-3e7e-4b45-a940-b21e3e00ec81/2026-whib-1st-u-s-tour-go-up-our-era-in-nashville
Nashville,https://patch.com/tennessee/nashville/calendar/event/20260509/85fd8ae0-f3d2-476e-b54a-91eab5748ece/family-program-line-dancing
