state,community_url,house_url
florida,https://www.marondahomes.com/fl/cape-coral/cape-coral-33914.html,https://www.marondahomes.com/fl/cape-coral/cape-coral-33914/job-7k194820.html
florida,https://www.marondahomes.com/fl/cape-coral/cape-coral-33914.html,https://www.marondahomes.com/fl/cape-coral/cape-coral-33914/job-7k132589.html
florida,https://www.marondahomes.com/fl/punta-gorda/heritage-station-33955.html,https://www.marondahomes.com/fl/punta-gorda/heritage-station-33955/job-7hs00121.html
virginia,https://www.marondahomes.com/va/rixeyville/blue-ridge-overlook-22737.html,https://www.marondahomes.com/va/rixeyville/blue-ridge-overlook-22737/job-blo02401.html
florida,https://www.marondahomes.com/fl/mt-plymouth/lake-county-communities-32776.html,https://www.marondahomes.com/fl/mt-plymouth/lake-county-communities-32776/job-2lc015mg.html
florida,https://www.marondahomes.com/fl/bokeelia/orchid-cove-townhomes-33922.html,https://www.marondahomes.com/fl/bokeelia/orchid-cove-townhomes-33922/job-7ov16c.html
florida,https://www.marondahomes.com/fl/bokeelia/orchid-cove-townhomes-33922.html,https://www.marondahomes.com/fl/bokeelia/orchid-cove-townhomes-33922/job-7ov16d.html
alabama,https://www.marondahomes.com/al/foley/foley-pointe-36535.html,https://www.marondahomes.com/al/foley/foley-pointe-36535/job-3cb00107.html
florida,https://www.marondahomes.com/fl/port-st-lucie/central-park-34987.html,https://www.marondahomes.com/fl/port-st-lucie/central-park-34987/job-3ck74521.html
pennsylvania,https://www.marondahomes.com/pa/butler/the-oaks-at-dutchtown-16002.html,https://www.marondahomes.com/pa/butler/the-oaks-at-dutchtown-16002/job-dut8.html
ohio,https://www.marondahomes.com/oh/troy/somerset-reserve-45373.html,https://www.marondahomes.com/oh/troy/somerset-reserve-45373/job-som75601.html
ohio,https://www.marondahomes.com/oh/troy/somerset-reserve-45373.html,https://www.marondahomes.com/oh/troy/somerset-reserve-45373/job-som75101.html
ohio,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232.html,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232/job-cc0019c.html
ohio,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232.html,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232/job-cc0019a.html
ohio,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232.html,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232/job-cc0019d.html
ohio,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232.html,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232/job-cc0019b.html
ohio,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232.html,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232/job-cc0019f.html
ohio,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232.html,https://www.marondahomes.com/oh/columbus/chatterton-commons-townhomes-43232/job-cc0019e.html
florida,https://www.marondahomes.com/fl/lakeland/applewood-reserve-33810.html,https://www.marondahomes.com/fl/lakeland/applewood-reserve-33810/job-7aw00201.html
virginia,https://www.marondahomes.com/va/winchester/abrams-pointe-22602.html,https://www.marondahomes.com/va/winchester/abrams-pointe-22602/job-ap2201.html
virginia,https://www.marondahomes.com/va/bealeton/bowens-run-22712.html,https://www.marondahomes.com/va/bealeton/bowens-run-22712/job-bo00101.html
ohio,https://www.marondahomes.com/oh/marysville/darby-run-43040.html,https://www.marondahomes.com/oh/marysville/darby-run-43040/job-dar003.html
florida,https://www.marondahomes.com/fl/palm-bay/palm-bay-32909.html,https://www.marondahomes.com/fl/palm-bay/palm-bay-32909/job-31052293.html
florida,https://www.marondahomes.com/fl/winter-haven/villamar-33884.html,https://www.marondahomes.com/fl/winter-haven/villamar-33884/job-2vm19401.html
florida,https://www.marondahomes.com/fl/lady-lake/the-reserve-at-hammock-oaks-32159.html,https://www.marondahomes.com/fl/lady-lake/the-reserve-at-hammock-oaks-32159/job-2ho03001.html
pennsylvania,https://www.marondahomes.com/pa/irwin/willow-estates-15642.html,https://www.marondahomes.com/pa/irwin/willow-estates-15642/job-wle2084b.html
florida,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955.html,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955/job-7bv05318.html
ohio,https://www.marondahomes.com/oh/grove-city/autumn-grove-43123.html,https://www.marondahomes.com/oh/grove-city/autumn-grove-43123/job-ag19505.html
ohio,https://www.marondahomes.com/oh/troy/somerset-reserve-45373.html,https://www.marondahomes.com/oh/troy/somerset-reserve-45373/job-som74501.html
pennsylvania,https://www.marondahomes.com/pa/sarver/ridgeview-estates-townhomes-16055.html,https://www.marondahomes.com/pa/sarver/ridgeview-estates-townhomes-16055/job-ret247a.html
pennsylvania,https://www.marondahomes.com/pa/sarver/ridgeview-estates-townhomes-16055.html,https://www.marondahomes.com/pa/sarver/ridgeview-estates-townhomes-16055/job-ret248a.html
florida,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955.html,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955/job-7bv12355.html
florida,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955.html,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955/job-7bv14303.html
pennsylvania,https://www.marondahomes.com/pa/mars/amherst-village-16046.html,https://www.marondahomes.com/pa/mars/amherst-village-16046/job-av6116.html
florida,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955.html,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955/job-7bv25416.html
florida,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955.html,https://www.marondahomes.com/fl/punta-gorda/burnt-store-village-33955/job-7bv02339.html
florida,https://www.marondahomes.com/fl/plant-city/bella-estates-33565.html,https://www.marondahomes.com/fl/plant-city/bella-estates-33565/job-7be05401.html
florida,https://www.marondahomes.com/fl/satellite-beach/the-vue-32937.html,https://www.marondahomes.com/fl/satellite-beach/the-vue-32937/job-3vu0020b.html
pennsylvania,https://www.marondahomes.com/pa/imperial/canterbury-woods-townhomes-15126.html,https://www.marondahomes.com/pa/imperial/canterbury-woods-townhomes-15126/job-cat214e.html
