state,community_url,house_url,card_id
georgia,,https://www.fischerhomes.com/find-new-homes/ready-now/7693202/60-linden-court/braselton/ga/blair,6738
georgia,,https://www.fischerhomes.com/find-new-homes/ready-now/7694260/220-pickens-bluff-lane/hiram/ga/grandin,6754
georgia,,https://www.fischerhomes.com/find-new-homes/ready-now/7693000/164-laurel-farms-lane/dallas/ga/edenton,6735
georgia,,https://www.fischerhomes.com/find-new-homes/ready-now/7694269/262-sage-woods-way/dallas/ga/jensen,6755
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22079178/952-apryl-drive/greenwood/in/blair,6424
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22071534/942-apryl-drive/greenwood/in/avery,6609
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22075325/934-apryl-drive/greenwood/in/delaney,6690
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22071604/14982-garden-mist-place/fishers/in/maxwell,6610
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22071768/15018-garden-mist-place/fishers/in/wilmington,6617
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22062466/406-elite-st/westfield/in/tustin,6230
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22078927/418-elite-st/westfield/in/tustin,6570
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22062460/408-elite-st/westfield/in/tustin,6229
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22075345/7150-maidstone-cove/mccordsville/in/davinci,6691
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22079181/7426-broadview-lane/mccordsville/in/wembley,6817
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22054826/10358-river-park-way/indianapolis/in/wembley,6488
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22078027/810-rosebud-ln/greenfield/in/wembley,6793
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22042108/882-rosebud-ln/greenfield/in/wembley,6248
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22042658/874-rosebud-ln/greenfield/in/wembley,6268
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22078013/572-firefly-ct/greenfield/in/emmett,6792
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22090408/6016-georgica-lane/mccordsville/in/tustin,7025
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22088979/7164-maidstone-cove/mccordsville/in/jensen,6997
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22088973/305-atlas-drive/lebanon/in/fairfax,6995
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22090792/6028-georgica-lane/mccordsville/in/tustin,7036
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22090908/6040-georgica-lane/mccordsville/in/tustin,7038
indiana,,https://www.fischerhomes.com/find-new-homes/ready-now/22089538/767-oakleaf-dr/greenfield/in/wesley,7001
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225029990/8258-silvergrass-way/plain-city/oh/blair,6992
