house_url,community_url
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/1558-breakwater-dr/1700501/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/1578-breakwater-dr/1728404/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/158-freeman-drive/1732099/,https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/
https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/160-freeman-drive/1732098/,https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/
https://www.cheshomes.com/new-homes/va/suffolk/river-club/7441/160-long-cove-drive/1726569/,https://www.cheshomes.com/new-homes/va/suffolk/river-club/7441/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/1619-breakwater-drive/1738255/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/1623-breakwater-drive/1738235/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/va/suffolk/river-club/7441/162-long-cove-drive/1726627/,https://www.cheshomes.com/new-homes/va/suffolk/river-club/7441/
https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/170-freeman-drive/1751611/,https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/
https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/172-freeman-drive/1751610/,https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/
https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/174-freeman-drive/1751609/,https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/
https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/175-broughton-drive/1737230/,https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/
https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/176-freeman-drive/1751608/,https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/
https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/178-freeman-drive/1751605/,https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/
https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/179-broughton-drive/1737218/,https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/
https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/180-freeman-drive/1751798/,https://www.cheshomes.com/new-homes/va/hampton/townes-at-coliseum-central/13981/
https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/199-broughton-drive/1736973/,https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/2023-woodrush-loop/1738673/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/2024-canvasback-drive/1731445/,https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/2027-woodrush-loop/1728407/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/2028-canvasback-drive/1731444/,https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/2031-woodrush-loop/1738088/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/2035-woodrush-loop/1738095/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/2040-woodrush-loop/1728413/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/2044-woodrush-loop/1738456/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/2048-woodrush-loop/1728415/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/2108-gooseberry-way/1709635/,https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/
https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/210-broughton-drive/1737579/,https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/
https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/2111-gooseberry-way/1727219/,https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/
https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/2112-gooseberry-way/1709502/,https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/
https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/2115-gooseberry-way/1727216/,https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/
https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/2118-gooseberry-way/1719759/,https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/
https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/2119-gooseberry-way/1719744/,https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/
https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/2126-gooseberry-way/1719750/,https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/
https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/2154-gooseberry-way/1690849/,https://www.cheshomes.com/new-homes/sc/longs/heritage-park-at-longs/6201/
https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/2215-seagrape-dr/1728416/,https://www.cheshomes.com/new-homes/sc/little-river/bridgewater-shorehaven-village/11972/
https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/2231-patrick-drive/1731346/,https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/
https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/2232-patrick-drive/1731443/,https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/
https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/2235-patrick-drive/1731442/,https://www.cheshomes.com/new-homes/va/suffolk/creekside-reserve/17715/
https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/226-broughton-drive/1737377/,https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/
https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/241-brougton-drive/1713961/,https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/
https://www.cheshomes.com/new-homes/nc/hertford/belmont-at-albemarle/11508/242-quarter-horse-loop/1025297/,https://www.cheshomes.com/new-homes/nc/hertford/belmont-at-albemarle/11508/
https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/258-broughton-drive/1711546/,https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/
https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/262-broughton-drive/1711522/,https://www.cheshomes.com/new-homes/sc/myrtle-beach/traditions-at-carolina-forest/8444/
https://www.cheshomes.com/new-homes/nc/angier/neills-pointe/11915/27-baird-cove-lane/1716641/,https://www.cheshomes.com/new-homes/nc/angier/neills-pointe/11915/
https://www.cheshomes.com/new-homes/va/virginia-beach/ashville-park/6964/2888-weston-loop/1737913/,https://www.cheshomes.com/new-homes/va/virginia-beach/ashville-park/6964/
