state,house_url
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/220-n-district-avenue-clayton-nc-27527
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1020-toland-dr-saint-george-sc-29477
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/114-silent-bend-dr-clayton-nc-27527
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/929-gondola-court-salisbury-nc-28146
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/935-gondola-court-salisbury-nc-28146
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1329-stork-drive-salisbury-nc-28146
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/149-soft-breeze-bend-locust-nc-28097
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/104-white-horse-drive-louisburg-nc-27549
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/124-tillery-ln-mount-gilead-nc-27306
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1039-house-finch-ave-ravenel-sc-29470
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1017-mourning-warbler-way-ravenel-sc-29470
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1030-house-finch-ave-ravenel-sc-29470
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/169-surfbird-road-summerville-sc-29486
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/851-gumtree-road-winston-salem-nc-27107
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/2130-e-holly-grove-road-lexington-nc-27292
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/2342-jons-creek-ln-charlotte-nc-28213
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1468-equality-ave-rock-hill-sc-29730
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1456-equality-ave-rock-hill-sc-29730
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/184-n-district-avenue-clayton-nc-27527
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/325-drawbar-drive-clover-sc-29710
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1039-field-sparrow-dr-ravenel-sc-29470
